Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.00760755,-0.37110126,0.045489833,9.703699112
0.029636222,-0.287304193,-0.026336219,9.782708168
0.079636222,-0.225054964,-0.067037649,9.900024414
0.129636222,-0.229843363,0.08379706,9.59835434
0.179636222,-0.366312861,0.016759412,9.844957352
0.229636222,-0.311246216,0.047884032,9.646238327
0.279636222,-0.330399841,0.124498487,9.617507935
0.329636222,-0.272938997,0.052672438,9.722852707
0.379636222,-0.342370838,0.062249243,9.840168953
0.429636222,-0.356736064,0.112527482,9.749189377
0.479636222,-0.33518824,0.105344877,9.703699112
0.529636222,-0.366312861,0.052672438,9.720458984
0.579636222,-0.356736064,0.098162271,9.753977776
0.629636222,-0.311246216,0.093373865,9.655815125
0.679636222,-0.337582439,0.055066638,9.763554573
0.729636222,-0.304063618,0.067037649,9.648633003
0.779636222,-0.435744703,0.033518825,9.873687744
0.829636222,-0.337582439,0.055066638,9.732429504
0.879636222,-0.387860686,0.050278235,9.840168953
0.929636222,-0.349553436,0.059855044,9.655815125
0.979636222,-0.33279404,0.079008654,9.689333916
1.029636222,-0.308852017,0.050278235,9.710882187
1.079636222,-0.308852017,0.074220255,9.718064308
1.129636222,-0.33279404,0.086191259,9.701305389
1.179636222,-0.328005642,-0.035913024,9.87608242
1.229636222,-0.301669419,0.050278235,9.818621635
1.279636222,-0.359130263,0.059855044,9.667786598
1.329636222,-0.402225882,0.150834709,9.739612579
1.379636222,-0.337582439,-0.02873042,9.799467087
1.429636222,-0.294486821,0.098162271,9.749189377
1.479636222,-0.268150598,0.079008654,9.588777542
1.529636222,-0.280121595,0.095768064,9.643844604
1.579636222,-0.368707061,0.057460841,9.868899345
1.629636222,-0.411802679,-0.076614454,10.18972206
1.679636222,-0.253785372,0.100556471,9.789890289
1.729636222,-0.275333196,0.119710088,9.603142738
1.779636222,-0.134075299,0.026336219,9.473855972
1.829636222,-0.292092621,0.126892686,9.607931137
1.879636222,-0.481234551,0.193930343,9.840168953
1.929636222,-0.359130263,0.18435353,9.725247383
1.979636222,-0.368707061,0.064643443,9.88805294
2.029636222,-0.189141929,0.105344877,9.689333916
2.079636222,-0.098162271,0.04309563,9.689333916
2.129636222,-0.071826048,-0.01436521,9.706093788
2.179636222,-0.29688102,0.124498487,9.746794701
2.229636222,-0.270544797,0.155623108,9.739612579
2.279636222,-0.44532153,0.062249243,9.830592155
2.329636222,-0.404620081,0.129286885,9.579200745
2.379636222,-0.177170932,-0.045489833,9.576807022
2.429636222,-0.363918662,0.086191259,9.734824181
2.479636222,-0.277727395,0.016759412,9.864110947
2.529636222,-0.289698392,0,9.758766174
2.579636222,-0.277727395,-0.055066638,9.701305389
2.629636222,-0.375889659,0.011971008,10.05325317
2.679636222,-0.256179571,0.059855044,9.615114212
2.729636222,-0.232237563,0.019153614,9.938331604
2.779636222,-0.189141929,0.098162271,9.507374763
2.829636222,-0.229843363,0.047884032,9.746794701
2.879636222,-0.191536129,0.129286885,9.581595421
2.929636222,-0.239420176,0.057460841,9.87608242
2.979636222,-0.256179571,0.14844051,9.667786598
3.029636222,-0.256179571,0.04070143,9.861717224
3.079636222,-0.241814375,0.177170932,9.672574997
3.129636222,-0.270544797,0.038307227,9.861717224
3.179636222,-0.253785372,0.126892686,9.653421402
3.229636222,-0.246602774,0.105344877,9.686940193
3.279636222,-0.260968,0.090979666,9.744400978
3.329636222,-0.189141929,0.117315881,9.696516991
3.379636222,-0.260968,0.14844051,9.698910713
3.429636222,-0.229843363,0.153228909,9.689333916
3.479636222,-0.282515794,0.146046311,9.667786598
3.529636222,-0.284909993,0.129286885,9.744400978
3.579636222,-0.201112941,0.074220255,9.842563629
3.629636222,-0.253785372,0.107739076,9.84974575
3.679636222,-0.208295554,0.114921682,9.780313492
3.729636222,-0.229843363,0.155623108,9.715670586
3.779636222,-0.220266551,0.088585466,9.662998199
3.829636222,-0.246602774,0.14844051,9.679757118
3.879636222,-0.217872351,0.10295067,9.710882187
3.929636222,-0.260968,0.062249243,9.866505623
3.979636222,-0.20590134,0.160411507,9.713275909
4.029636222,-0.20590134,0.162805721,9.773131371
4.079636222,-0.246602774,0.141257897,9.785101891
4.129636222,-0.316034615,0.08379706,9.765948296
4.179636222,-0.260968,0.169988319,9.629479408
4.229636222,-0.222660765,0.114921682,9.768342972
4.279636222,-0.248996973,0.155623108,9.694122314
4.329636222,-0.280121595,0.059855044,9.773131371
4.379636222,-0.232237563,0.112527482,9.730035782
4.429636222,-0.284909993,0.155623108,9.655815125
4.479636222,-0.246602774,0.095768064,9.782708168
4.529636222,-0.241814375,0.069431849,9.749189377
4.579636222,-0.272938997,0.071826048,9.797073364
4.629636222,-0.198718742,0.107739076,9.629479408
4.679636222,-0.256179571,0.112527482,9.770736694
4.729636222,-0.320823014,-0.023942016,9.818621635
4.779636222,-0.196324542,0.100556471,9.758766174
4.829636222,-0.325611442,0.052672438,9.715670586
4.879636222,-0.237025961,0.124498487,9.708487511
4.929636222,-0.234631762,-0.016759412,9.821015358
4.979636222,-0.248996973,0.095768064,9.691728592
5.029636222,-0.258573771,0.045489833,9.720458984
5.079636222,-0.260968,0.105344877,9.665391922
5.129636222,-0.258573771,0.064643443,9.727641106
5.179636222,-0.260968,0.055066638,9.797073364
5.229636222,-0.265756398,0.067037649,9.813833237
5.279636222,-0.258573771,0.086191259,9.684545517
5.329636222,-0.260968,0.045489833,9.737217903
5.379636222,-0.248996973,0.122104287,9.686940193
5.429636222,-0.239420176,0.059855044,9.749189377
5.479636222,-0.287304193,-0.002394202,9.844957352
5.529636222,-0.292092621,0.126892686,9.710882187
5.579636222,-0.289698392,0.052672438,9.801861763
5.629636222,-0.234631762,0.095768064,9.684545517
5.679636222,-0.277727395,0.107739076,9.701305389
5.729636222,-0.248996973,0.059855044,9.713275909
5.779636222,-0.282515794,0.071826048,9.799467087
5.829636222,-0.299275219,0.090979666,9.722852707
5.879636222,-0.287304193,0.04070143,9.864110947
5.929636222,-0.256179571,0.069431849,9.770736694
5.979636222,-0.253785372,0.08379706,9.727641106
6.029636222,-0.248996973,0.067037649,9.662998199
6.079636222,-0.284909993,0.021547815,9.727641106
6.129636222,-0.292092621,0.095768064,9.658209801
6.179636222,-0.251391172,-0.011971008,9.864110947
6.229636222,-0.320823014,0.055066638,9.852140427
6.279636222,-0.265756398,0.095768064,9.720458984
6.329636222,-0.292092621,0.134075299,9.600749016
6.379636222,-0.215478152,0.052672438,9.909601212
6.429636222,-0.251391172,0.007182605,10.02931118
6.479636222,-0.306457818,-0.093373865,10.29506683
6.529636222,-0.344765037,-0.076614454,10.38365269
6.579636222,-0.256179571,0.134075299,10.0604353
6.629636222,-0.318428814,-0.098162271,10.15859795
6.679636222,-0.234631762,-0.02873042,9.777919769
6.729636222,-0.246602774,-0.1316811,9.87608242
6.779636222,-0.229843363,-0.079008654,9.938331604
6.829636222,-0.244208574,0.059855044,10.0364933
6.879636222,-0.282515794,0.04309563,9.943120003
6.929636222,-0.265756398,-0.057460841,10.15859795
6.979636222,-0.272938997,0.021547815,9.840168953
7.029636222,-0.289698392,-0.047884032,10.16099167
7.079636222,-0.244208574,-0.002394202,10.01973438
7.129636222,-0.323217243,0.007182605,9.967061996
7.179636222,-0.289698392,-0.052672438,10.21366405
7.229636222,-0.227449164,0.007182605,9.928754807
7.279636222,-0.292092621,-0.045489833,10.09156036
7.329636222,-0.287304193,0.031124622,9.835380554
7.379636222,-0.272938997,-0.021547815,10.05804157
7.429636222,-0.366312861,-0.064643443,10.13944435
7.479636222,-0.272938997,-0.02873042,10.22802925
7.529636222,-0.323217243,-0.01436521,10.13704967
7.579636222,-0.328005642,-0.026336219,10.03409958
7.629636222,-0.301669419,-0.04070143,9.928754807
7.679636222,-0.33518824,-0.095768064,10.06522369
7.729636222,-0.292092621,-0.01436521,10.09874249
7.779636222,-0.306457818,0.026336219,10.10831928
7.829636222,-0.275333196,-0.112527482,10.3357687
7.879636222,-0.304063618,-0.033518825,10.19211674
7.929636222,-0.299275219,-0.062249243,10.19451046
7.979636222,-0.270544797,-0.064643443,10.0364933
8.029636222,-0.244208574,-0.114921682,10.19211674
8.079636222,-0.196324542,-0.088585466,10.14662647
8.129636222,-0.289698392,-0.074220255,10.25915432
8.179636222,-0.270544797,-0.08379706,10.23042393
8.229636222,-0.299275219,-0.033518825,10.22802925
8.279636222,-0.263362199,-0.035913024,10.19929886
8.329636222,-0.270544797,-0.086191259,10.12986755
8.379636222,-0.265756398,-0.067037649,10.09874249
8.429636222,-0.301669419,-0.04070143,10.0269165
8.479636222,-0.268150598,0.019153614,9.828198433
8.529636222,-0.325611442,-0.026336219,9.832986832
8.579636222,-0.253785372,0.045489833,9.684545517
8.629636222,-0.232237563,0.076614454,9.773131371
8.679636222,-0.198718742,0.122104287,9.48343277
8.729636222,-0.227449164,0.062249243,9.732429504
8.779636222,-0.256179571,0.107739076,9.651026726
8.829636222,-0.270544797,0.021547815,9.83777523
8.879636222,-0.20350714,0.158017308,9.782708168
8.929636222,-0.337582439,-0.1316811,10.16338634
8.979636222,-0.318428814,-0.076614454,9.993397713
9.029636222,-0.225054964,0.16759412,9.600749016
9.079636222,-0.268150598,-0.023942016,9.622296333
9.129636222,-0.299275219,-0.007182605,9.562441826
9.179636222,-0.215478152,0.011971008,9.528923035
9.229636222,-0.229843363,0.119710088,9.710882187
9.279636222,-0.251391172,0.050278235,9.830592155
9.329636222,-0.284909993,0.031124622,10.02452278
9.379636222,-0.284909993,0.129286885,9.842563629
9.429636222,-0.241814375,0.098162271,9.622296333
9.479636222,-0.232237563,-0.064643443,9.804255486
9.529636222,-0.263362199,0.057460841,9.655815125
9.579636222,-0.172382519,0.14844051,9.48343277
9.629636222,-0.29688102,0.105344877,9.763554573
9.679636222,-0.280121595,0.14844051,9.749189377
9.729636222,-0.282515794,0.114921682,9.864110947
9.779636222,-0.246602774,0.160411507,9.758766174
9.829636222,-0.256179571,0.129286885,9.550470352
9.879636222,-0.246602774,0.050278235,9.595960617
9.929636222,-0.263362199,0.129286885,9.648633003
9.979636222,-0.241814375,0.165199921,9.696516991
10.02963622,-0.304063618,0.004788403,10.0317049
10.07963622,-0.299275219,0.155623108,9.813833237
10.12963622,-0.256179571,0.141257897,9.871294022
10.17963622,-0.253785372,0.165199921,9.631873131
10.22963622,-0.213083953,0.026336219,9.698910713
10.27963622,-0.172382519,0.126892686,9.545681953
10.32963622,-0.177170932,0.14844051,9.727641106
10.37963622,-0.246602774,0.04070143,9.909601212
10.42963622,-0.241814375,0.136469498,9.830592155
10.47963622,-0.263362199,0.100556471,9.866505623
10.52963622,-0.225054964,0.129286885,9.686940193
10.57963622,-0.16759412,0.045489833,9.694122314
10.62963622,-0.241814375,0.071826048,9.718064308
10.67963622,-0.232237563,0.169988319,9.533711433
10.72963622,-0.256179571,0.086191259,9.825803757
10.77963622,-0.268150598,0.119710088,9.749189377
10.82963622,-0.260968,0.105344877,9.854534149
10.87963622,-0.222660765,0.16759412,9.689333916
10.92963622,-0.248996973,0.126892686,9.59835434
10.97963622,-0.232237563,0.110133275,9.727641106
11.02963622,-0.251391172,0.100556471,9.722852707
11.07963622,-0.191536129,0.18435353,9.761159897
11.12963622,-0.239420176,0.155623108,9.854534149
11.17963622,-0.213083953,0.16759412,9.768342972
11.22963622,-0.20350714,0.119710088,9.789890289
11.27963622,-0.234631762,0.179565132,9.639056206
11.32963622,-0.282515794,0.146046311,9.653421402
11.37963622,-0.172382519,0.119710088,9.773131371
11.42963622,-0.246602774,0.141257897,9.701305389
11.47963622,-0.232237563,0.179565132,9.751583099
11.52963622,-0.241814375,0.172382519,9.672574997
11.57963622,-0.313640416,0.129286885,9.761159897
11.62963622,-0.244208574,0.136469498,9.773131371
11.67963622,-0.268150598,0.136469498,9.761159897
11.72963622,-0.244208574,0.143652096,9.658209801
11.77963622,-0.220266551,0.146046311,9.751583099
11.82963622,-0.272938997,0.122104287,9.708487511
11.87963622,-0.237025961,0.088585466,9.832986832
11.92963622,-0.244208574,0.172382519,9.651026726
11.97963622,-0.229843363,0.126892686,9.900024414
12.02963622,-0.241814375,0.1316811,9.749189377
12.07963622,-0.225054964,0.158017308,9.691728592
12.12963622,-0.248996973,0.107739076,9.674968719
12.17963622,-0.213083953,0.134075299,9.756371498
12.22963622,-0.229843363,0.138863698,9.665391922
12.27963622,-0.234631762,0.124498487,9.859322548
12.32963622,-0.275333196,0.179565132,9.703699112
12.37963622,-0.277727395,0.153228909,9.813833237
12.42963622,-0.289698392,0.14844051,9.765948296
12.47963622,-0.270544797,0.174776718,9.646238327
12.52963622,-0.256179571,0.138863698,9.643844604
12.57963622,-0.29688102,0.160411507,9.627084732
12.62963622,-0.241814375,0.086191259,9.809044838
12.67963622,-0.256179571,0.122104287,9.809044838
12.72963622,-0.268150598,0.088585466,9.923966408
12.77963622,-0.237025961,0.153228909,9.653421402
12.82963622,-0.260968,0.160411507,9.617507935
12.87963622,-0.268150598,0.052672438,9.574412346
12.92963622,-0.198718742,0.059855044,9.746794701
12.97963622,-0.270544797,0.071826048,9.694122314
13.02963622,-0.287304193,0.01436521,9.919178009
13.07963622,-0.292092621,0.045489833,9.801861763
13.12963622,-0.275333196,0.047884032,9.883264542
13.17963622,-0.248996973,0.112527482,9.646238327
13.22963622,-0.260968,0.033518825,9.634267807
13.27963622,-0.289698392,0.023942016,9.595960617
13.32963622,-0.270544797,0.035913024,9.603142738
13.37963622,-0.311246216,0.021547815,9.866505623
13.42963622,-0.306457818,0.031124622,9.928754807
13.47963622,-0.287304193,0.01436521,9.986215591
13.52963622,-0.272938997,0.021547815,9.84974575
13.57963622,-0.239420176,0.057460841,9.550470352
13.62963622,-0.311246216,0.01436521,9.684545517
13.67963622,-0.181959331,0.04309563,9.682151794
13.72963622,-0.232237563,0.117315881,9.627084732
13.77963622,-0.320823014,0.059855044,9.727641106
