Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.060974208,-0.004886922,-0.035430186,-0.003665192
0.110974208,0.029932396,0.01038471,0.007330383
0.160974208,-0.004276057,0.009773844,-0.018936822
0.210974208,0.020158554,-0.01282817,-0.008552114
0.260974208,-0.007941248,-0.006719518,0.000610865
0.310974208,-0.019547688,-0.035430186,-0.012217305
0.360974208,-0.058643065,-0.028099801,-0.013439035
0.410974208,-0.009773844,-0.039706241,0.009773844
0.460974208,-0.006108652,-0.004276057,0.016493361
0.510974208,-0.00122173,-0.013439035,-0.00122173
0.560974208,-0.022602014,0.058643065,0.009773844
0.610974208,0.006719518,-0.033597589,0.016493361
0.660974208,-0.001832596,0.004886922,-0.000610865
0.710974208,0.006719518,-0.021380283,0.001832596
0.760974208,-0.003054326,0.005497787,0.007330383
0.810974208,0.020158554,0.00122173,0.006108652
0.860974208,0.007330383,0.008552114,-0.008552114
0.910974208,0.014660766,-0.007941248,-0.040317107
0.960974208,0.004886922,-0.014049901,-0.023823744
1.010974208,0.03848451,0.006108652,0
1.060974208,0.036041051,-0.017715093,-0.003665192
1.110974208,0.031154128,0.002443461,0.007330383
1.160974208,0.035430186,-0.016493361,0.021380283
1.210974208,0.02687807,-0.004276057,0.010995574
1.260974208,-0.039706241,-0.00122173,0.014660766
1.310974208,-0.047036625,-0.008552114,0.000610865
1.360974208,-0.028710667,-0.005497787,-0.007330383
1.410974208,-0.014660766,-0.01160644,-0.021380283
1.460974208,-0.007941248,0.039706241,-0.012217305
1.510974208,-0.005497787,0.002443461,0.033597589
1.560974208,-0.009162978,-0.033597589,0.007330383
1.610974208,0.014049901,-0.01038471,0.017104227
1.660974208,0.020158554,-0.023823744,0.007330383
1.710974208,0.035430186,0.017104227,0.01038471
1.760974208,-0.001832596,-0.012217305,0.018325957
1.810974208,-0.007941248,0.008552114,0.006719518
1.860974208,0.034208454,-0.006108652,0.01160644
1.910974208,0.032986723,0.010995574,0.003054326
1.960974208,0.031154128,0.00122173,0.003665192
2.010974208,-0.007330383,-0.021380283,-0.004886922
2.060974208,0.009162978,-0.008552114,0.004276057
2.110974208,-0.007941248,0.01038471,0.00122173
2.160974208,-0.00122173,-0.009162978,0.00122173
2.210974208,0.008552114,0.000610865,0.009162978
2.260974208,0.002443461,0.004276057,0.003054326
2.310974208,0.00122173,-0.009162978,0.006108652
2.360974208,0.014049901,-0.005497787,0
